cast_id,cast_name,gender,order0,order1,order2,order3,order4,order_score,movie_count,movie_id
380,Robert De Niro,2,30,11,5,6,2,223,57,39451_9992_17711_10555_2270_49021_11371_693_274479_9932_13389_1597_8195_9566_524_819_2749_168672_257211_203_13536_64807_1598_336004_11978_87567_9535_9013_11058_311_137093_31582_8944_62838_117_11096_769_45881_9819_44113_82693_5971_26171_184341_1578_75638_11778_586_2142_68_12637_240_23631_184_291870_1777_103
62,Bruce Willis,2,30,4,1,4,0,177,51,95_72559_9471_163_1571_76163_18_47964_1572_27578_7518_146216_19959_9567_3172_2026_9741_1573_9882_10592_4244_9292_189_39514_4824_8838_9374_285923_12220_2207_745_187_23742_59967_2122_562_186_8944_20694_2069_14043_77948_241254_24226_83666_9644_5172_3179_12479_680_5
1892,Matt Damon,2,23,10,2,1,0,163,48,157336_65759_2503_324668_68724_163_286217_22972_1422_2502_161_298_9023_4442_7450_11086_152760_857_2501_39538_22954_4958_1792_38050_74465_231_44603_10684_21355_711_1213_11975_44264_9541_12429_4912_9352_11323_2294_133694_44754_10220_489_1832_1956_11191_44639_2255
2963,Nicolas Cage,2,28,3,3,1,0,163,39,27022_19585_1250_49519_12100_9679_2059_754_1701_9802_8688_1852_16577_5994_71676_1722_795_285923_13811_47327_2148_9906_13184_1830_8224_6071_127493_8649_23483_11699_6963_199373_2757_218043_10013_297596_13342_451_157847
2231,Samuel L. Jackson,2,15,12,8,4,5,160,67,99861_24428_258489_1726_10138_100402_10195_1771_77950_97020_1895_1894_1893_27581_68718_9806_1572_8247_9741_10153_7451_16869_9257_11412_16577_329_273248_8914_11679_8285_393_479_9631_10782_1389_9869_7214_1537_1645_6071_14655_326_1613_769_3021_13279_9074_133931_12150_7874_25208_9644_13074_319_184_41823_14283_680_37080_36739_925_45153_12486_9516_27845_45145_25975
85,Johnny Depp,2,27,2,3,0,0,152,40,285_58_57201_1865_12155_241259_118_62213_44896_22_11322_37710_157353_71880_210860_261023_224141_768_64688_1586_622_377_9366_2900_4133_3933_8054_1428_392_866_1909_7548_162_1878_522_1587_792_11284_290825_246403
5292,Denzel Washington,2,25,4,0,1,0,143,31,4982_18487_44048_59961_20504_14462_9882_136400_9509_156022_8963_388_2116_9481_10684_9944_2034_10400_8470_1883_87502_10637_9271_9665_12506_9469_9800_14047_13435_41823_11971
287,Brad Pitt,2,17,12,1,1,1,139,38,72190_4922_652_65759_38055_163_787_1535_4477_161_298_297_228150_16869_978_550_14411_628_60308_819_6073_4944_8967_807_4476_4512_4912_318846_109091_76203_1164_314385_64689_492_319_107_15186_45145
31,Tom Hanks,2,24,3,2,0,0,138,32,10193_5255_13448_591_83542_863_8358_4147_594_6538_35_920_857_568_9489_497_13_109424_640_11287_296098_64685_140823_5516_20763_862_59861_2280_9800_2619_9591_13508
13240,Mark Wahlberg,2,20,7,1,2,1,136,31,91314_2133_869_27581_7980_1422_214756_136400_9654_8645_7485_35056_72105_274167_6415_193756_11858_12508_13051_98357_8292_2001_134374_77866_284536_1599_19457_4995_9448_45317_9455
500,Tom Cruise,2,23,3,2,1,0,135,33,137113_177677_956_56292_616_74_955_37834_75612_180_7446_2253_954_1903_80585_345_818_2119_1538_75780_9390_628_37233_334_4515_881_380_744_2604_11967_11873_227_33676
776,Eddie Murphy,2,21,6,1,0,0,132,28,10192_810_11692_10674_10756_59108_12107_1125_10808_3050_809_8427_10708_11260_9713_9327_11353_19724_808_306_11066_72358_96_90_12158_10136_1621_374461
7399,Ben Stiller,2,22,4,2,0,0,132,33,10527_18360_80321_181533_38055_1593_39451_116745_7446_59108_953_9824_693_9384_1597_80035_329833_9894_5966_7288_9472_4967_9428_9398_8699_544_9842_10710_9614_252512_2074_16148_49020
1461,George Clooney,2,22,4,1,0,2,131,34,158852_415_2133_49047_163_161_298_152760_11775_4942_8741_231_6623_6415_1389_12279_10315_4944_10054_182_22947_4912_303858_134_10313_10316_270487_4566_9473_65057_27579_755_9260_3291
